"","TimeStep","X10Trial_Prey","X10Trial_Predator","X20Trial_Prey","X20Trial_Predator","X30Trial_Prey","X30Trial_Predator","X40Trial_Prey","X40Trial_Predatory","X50Trial_Prey","X50Trial_Predator","X60Trial_Prey","X60Trial_Predator","X70Trial_Prey","X70Trial_Predator","X80Trial_Prey","X80Trial_Predator","X90Trial_Prey","X90Trial_Predator","X100Trial_Prey","X100Trial_Predator"
"42",42,15.4513394338364,48.8033549991563,7.66531287641863,35.9490153794456,6.65064073676294,29.663770557538,6.2761379454404,25.8312626079031,5.94435701004263,23.2136926945525,5.54120046727619,21.3082047514705,5.05979878081131,19.8669831377641,4.52434229357785,18.7512136893062,3.96586560243079,17.8755909395502,3.41283117143158,17.1838496900516
"43",43,11.0008352845839,47.1172644528004,6.442770946876,34.4271250609559,6.00793807535601,28.377865110537,5.91015986020751,24.7018200449401,5.75332364307277,22.1909985367227,5.46871021947478,20.3608675480226,5.066529166385,18.9741569179348,4.58084166078898,17.8984899139913,4.05011681061409,17.0527035838029,3.50894162704387,16.3833027834164
"44",44,8.0177096884463,45.2797304954658,5.51326432497926,32.9275748890353,5.50460112747809,27.1294643113051,5.63227477921227,23.6127207479967,5.62726840624012,21.2091206064313,5.44897541899729,19.4541718550587,5.11850380533918,18.1215821914703,4.67710851031455,17.0855555665549,4.16948575822511,16.269133846064,3.63584942120071,15.6216256973708
"45",45,5.99085428729822,43.3787837045763,4.8005329505371,31.4627345685274,5.11215255461485,25.9223279755757,5.42879641967948,22.5650780421344,5.55922794436108,20.2680139904224,5.47871746044511,18.587468566541,5.21465069234894,17.3082584693026,4.8134202389396,16.311188785571,4.32504369117192,15.5235110756306,3.79504051794085,14.8973422912523
"46",46,4.59026542141443,41.4697204916818,4.25026060054234,30.0406357341112,4.80939411371878,24.7587304719788,5.28954355476611,21.5593253549126,5.54432843571071,19.3672878006536,5.55610606672431,17.7599306267949,5.3550156107157,16.5331020678478,4.9909782245112,15.5741419525141,4.51865379298136,14.8144753854916,3.98868844547966,14.2090111942946
"47",47,3.60474826561044,39.5865914911064,3.82350741589143,28.6662844778816,4.58052801051169,23.639868440975,5.20706236095749,20.5953980776432,5.57940807809529,18.5063020150967,5.68056669706779,16.9706101537553,5.54066853619003,15.7949819841223,5.211871835909,14.8731650582388,4.75296969766083,14.1406931016087,4.21967294685185,13.5552359533522
"48",48,2.89870094854258,37.7499616135701,3.49215138619738,27.3425760052748,4.41380281702706,22.5661580984849,5.17605961175867,19.6728696959001,5.66274758412733,17.6842411253005,5.85265320779792,16.2184823289359,5.77365464633689,15.0927476446253,5.47907590231219,14.2070238354047,5.03146077903432,13.5008687323441,4.49162091181668,12.9346728181252
"49",49,2.38418264288408,35.9718893824283,3.23573751644658,26.07093161971,4.30053765858676,21.5374527657452,5.19299207130701,18.7910541573854,5.79388316385859,16.9001704627449,6.0739723230769,15.5024793651171,6.05698244996046,14.4252505749584,5.79647746337322,13.5745140055746,5.35846201974439,12.8937543872366,4.80896862500604,12.3460368241363
"50",50,2.00338362848758,34.2590584676042,3.03929810442981,24.8517437302552,4.2344189234129,20.5532027541471,5.25577253306038,17.9490832447669,5.97348366552593,16.1530795527181,6.34715048166435,14.8215170274641,6.3946440442645,13.7913615357793,6.16892931095229,12.9744726698055,5.73924749193406,12.3181573610507,5.17704531270284,11.7881066866599
"51",51,1.71771998557112,32.6147395810854,2.89183914920437,23.6846884013535,4.21099400130646,19.6125734871186,5.36356405255785,17.14596538124,6.20327883007009,15.4419157319383,6.67583658859858,14.1745155750307,6.79166437404671,13.1899843068974,6.60232912567362,12.4057876410621,6.18012745292428,11.7729464467378,5.60217875056527,11.2597289147948
